id,focus,signal,slack,drag,confidence,score,lane
l001,grammar width,35,33,6,25,164,watch
l002,label quality,35,34,6,55,225,ship
l003,error locality,35,35,6,85,286,ship
l004,token drift,35,36,18,25,119,hold
l005,grammar width,35,37,18,55,180,watch
l006,label quality,35,38,18,85,241,ship
l007,error locality,35,39,34,25,58,hold
l008,token drift,35,40,34,55,119,hold
l009,grammar width,35,41,34,85,180,watch
l010,label quality,60,42,6,25,248,ship
l011,error locality,60,43,6,55,309,ship
l012,token drift,60,44,6,85,370,ship
l013,grammar width,60,45,18,25,203,ship
l014,label quality,60,46,18,55,264,ship
l015,error locality,60,47,18,85,325,ship
l016,token drift,60,48,34,25,142,watch
l017,grammar width,60,32,34,55,186,watch
l018,label quality,60,33,34,85,247,ship
l019,error locality,85,34,6,25,315,ship
l020,token drift,85,35,6,55,376,ship
l021,grammar width,85,36,6,85,437,ship
l022,label quality,85,37,18,25,270,ship
l023,error locality,85,38,18,55,331,ship
l024,token drift,85,39,18,85,392,ship
l025,grammar width,85,40,34,25,209,ship
l026,label quality,85,41,34,55,270,ship
l027,error locality,85,42,34,85,331,ship
